english,spanish,context
coil,espira,Physics > Electro-magnetism
coil, bobina,Physics > Electro-magnetism
coil,espira,Physics > Aplied Physics
coil, bobina,Physics > Aplied Physics
coil,bobina,Technological Sciences > Electronic technology
coil, inductancia,Technological Sciences > Electronic technology
coil, inductor,Technological Sciences > Electronic technology
coke oven,batería de coque,Technological Sciences > Chemical technology and engineering
coke oven, batería de hornos de coque,Technological Sciences > Chemical technology and engineering
coke oven,coquería,Technological Sciences > Environmental technology and engineering
coke oven, horno de coque,Technological Sciences > Environmental technology and engineering
collection,recogida,Technological Sciences > Environmental technology and engineering
collection,cobro,Economic Sciences > Organization and management of enterprises
command,comando,Technological Sciences > Telecommunications technology
command,instrucción,Technological Sciences > Computer technology
command, sentencia,Technological Sciences > Computer technology
compass,brújula,Earth and Space Sciences > Geology
compass,compás,Technological Sciences > Mechanical engineering and technology
compass,brújula,Technological Sciences > Construction technology
compass, compás,Technological Sciences > Construction technology
compass,brújula,Technological Sciences > Environmental technology and engineering
compass,brújula,Physics > Aplied Physics
complement,complemento,Medical Sciences > Microbiology
complement,complemento,Mathematics > Algebra
complement,complementario,Mathematics > Topology
complement,complemento,Life sciences > Microbiology
compressional wave,onda de compresión,Earth and Space Sciences > Geology
compressional wave,onda compresional,Technological Sciences > Environmental technology and engineering
compressional wave, onda P,Technological Sciences > Environmental technology and engineering
compressional wave,onda longitudinal,Physics > Aplied Physics
conceptual design,proyecto constructivo,Technological Sciences > Projects
conceptual design,diseño conceptual,Technological Sciences > Mechanical engineering and technology
condenser,refrigerante,Chemistry > Organic chemistry
condenser,condensador,Medical Sciences > Pharmaceutical Technology
condenser,condensador,Technological Sciences > Environmental technology and engineering
condenser,refrigerante,Chemistry > Physical chemistry
condenser,condensador,Physics > Optics
conduit,chimenea,Earth and Space Sciences > Geology
conduit,tubo,Technological Sciences > Electrical technology and engineering
constant term,término independiente,Mathematics > Analysis and functional analysis
constant term,término constante,Economic Sciences > Econometrics
consumer,consumidor,Mathematics > Analysis and functional analysis
consumer,consumidor,Economic Sciences > Economic theory
consumer,abonado,Technological Sciences > Electrical technology and engineering
consumer, cliente,Technological Sciences > Electrical technology and engineering
consumer, usuario,Technological Sciences > Electrical technology and engineering
consumer,consumidor,Economic Sciences > General economics
consumer,consumidor,Economic Sciences > Organization and management of enterprises
container,contenedor,Technological Sciences > Computer technology
container,contenedor,Economic Sciences > Organization and management of enterprises
container,contenedor,Technological Sciences > Environmental technology and engineering
container,recipiente,Physics > Fluids (physics of)
contour line,línea de contorno,Technological Sciences > Mechanical engineering and technology
contour line, línea de nivel,Technological Sciences > Mechanical engineering and technology
contour line,curva de nivel,Mathematics > Analysis and functional analysis
contour line, línea de nivel,Mathematics > Analysis and functional analysis
contour line,curva de nivel,Technological Sciences > Construction technology
contractionary fiscal policy,política de contención presupuestaria,Economic Sciences > General economics
contractionary fiscal policy, política de contracción fiscal,Economic Sciences > General economics
contractionary fiscal policy,política fiscal restrictiva,Economic Sciences > Economic theory
converter,conversor,Technological Sciences > Telecommunications technology
converter, convertidor,Technological Sciences > Telecommunications technology
converter,convertidor,Technological Sciences > Electrical technology and engineering
converter,conversor,Medical Sciences > Pharmacology
corner,vértice,Technological Sciences > Industrial technology
corner,esquina,Technological Sciences > Construction technology
corner,vértice,Mathematics > Analysis and functional analysis
correlation coefficient,coeficiente de correlación,Economic Sciences > Econometrics
correlation coefficient,factor de correlación,Chemistry > Analytical chemistry
corridor,pasillo,Technological Sciences > Projects
corridor,corredor,Physics > Fluids (physics of)
corridor, paso,Physics > Fluids (physics of)
cotter pin,clavija,Technological Sciences > Industrial technology
cotter pin, pasador,Technological Sciences > Industrial technology
cotter pin,pasador de aletas,Technological Sciences > Mechanical engineering and technology
cough,tos,Medical Sciences > Pharmacology
cough,toser,Medical Sciences > Medical diagnostic and Treatment Technology
countable family,familia contable,Mathematics > Topology
countable family,familia numerable,Mathematics > Analysis and functional analysis
couple,acoplar,Physics > Electro-magnetism
couple,acoplar,Technological Sciences > Mechanical engineering and technology
couple,par,Technological Sciences > Construction technology
couple, par de fuerzas,Technological Sciences > Construction technology
coupling,acoplamiento,Physics > Theoretical physics
coupling,embrague,Technological Sciences > Mechanical engineering and technology
coupling,acoplamiento,Physics > Electro-magnetism
coupling,acoplamiento,Technological Sciences > Telecommunications technology
course,cauce,Technological Sciences > Environmental technology and engineering
course,rumbo,Technological Sciences > Construction technology
cover,cubrimiento,Mathematics > Topology
cover, recubrimiento,Mathematics > Topology
cover,recubrimiento,Physics > Electro-magnetism
cover,recubrimiento,Technological Sciences > Environmental technology and engineering
cover, revestimiento,Technological Sciences > Environmental technology and engineering
cover,cubierta,Life sciences > Cell biology
cover,cubierta,Technological Sciences > Mechanical engineering and technology
cover,recubrimiento,Medical Sciences > Pharmaceutical Technology
cover,cubierta,Technological Sciences > Construction technology
crack,fisura,Technological Sciences > Environmental technology and engineering
crack, grieta,Technological Sciences > Environmental technology and engineering
crack, hendidura,Technological Sciences > Environmental technology and engineering
crack,fisura,Technological Sciences > Construction technology
crack,grieta,Technological Sciences > Mechanical engineering and technology
crack,grieta,Earth and Space Sciences > Geology
critical damping,amortiguación crítica,Physics > Aplied Physics
critical damping,amortiguamiento crítico,Physics > Thermodynamics
cross section,corte transversal,Technological Sciences > Industrial technology
cross section, sección transversal,Technological Sciences > Industrial technology
cross section,sección eficaz,Physics > Theoretical physics
cross section,sección transversal,Technological Sciences > Construction technology
